epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8734,1.33643,3.96408,1.30074,0.00185,0.58333,0.01307,0.00849,1.51118,4.10165,1.25793,2.858e-05,2.858e-05,2.858e-05
2,28.5391,1.27738,4.04413,1.26951,0.00257,0.75,0.02377,0.01858,1.27165,4.00084,1.1639,7.07426e-05,7.07426e-05,7.07426e-05
3,41.9836,0.98014,3.85397,1.13306,0.0029,0.83333,0.16735,0.1414,1.06403,3.92542,1.06701,0.000112056,0.000112056,0.000112056
4,55.387,1.11232,3.70958,1.22103,0.00325,0.91667,0.17988,0.15111,0.93466,3.84185,1.01641,0.000152521,0.000152521,0.000152521
5,69.0463,1.16041,3.4992,1.13188,0.00363,1,0.24275,0.2113,0.81901,3.77361,0.96954,0.000192138,0.000192138,0.000192138
6,92.6757,0.99667,2.98716,1.05225,0.00358,1,0.20182,0.17552,0.8172,3.79731,0.95282,0.000230905,0.000230905,0.000230905
7,107.699,1.02478,2.93102,1.0448,0.00351,1,0.26031,0.22576,0.91676,3.76736,0.98169,0.000268823,0.000268823,0.000268823
8,137.119,1.02779,2.96183,1.07106,0.00347,1,0.2706,0.23504,0.97187,3.73912,0.99265,0.000305893,0.000305893,0.000305893
9,150.694,1.08003,2.75164,1.11566,0.00343,1,0.28688,0.22459,0.99262,3.76038,1.00406,0.000342114,0.000342114,0.000342114
10,164.197,0.9486,2.60486,1.05281,0.00319,0.91667,0.31536,0.23243,0.96942,3.78628,1.02782,0.000377486,0.000377486,0.000377486
11,177.892,1.04136,2.27672,1.1024,0.00288,0.83333,0.28373,0.2257,0.98434,3.8136,1.09234,0.000412009,0.000412009,0.000412009
12,191.431,1.03857,2.18795,1.08749,0.00311,0.91667,0.30826,0.21693,1.02474,3.77788,1.11223,0.000445684,0.000445684,0.000445684
13,204.727,1.20662,2.18817,1.07722,0.00313,0.91667,0.36788,0.23271,1.09703,3.87289,1.14911,0.000478509,0.000478509,0.000478509
14,220.431,1.13091,2.32362,1.11209,0.00252,0.75,0.43335,0.24798,1.18239,3.97985,1.22872,0.000510486,0.000510486,0.000510486
15,234.622,1.07793,2.10555,1.06851,0.00229,0.66667,0.46302,0.33258,1.08415,3.947,1.14108,0.000541614,0.000541614,0.000541614
16,244.267,0.97354,1.98547,1.03036,0.00258,0.75,0.4554,0.29138,1.23143,3.88869,1.2008,0.000571893,0.000571893,0.000571893
17,252.97,1.03852,1.92598,1.0131,0.00254,0.75,0.41203,0.21521,1.30813,3.90309,1.20721,0.000601323,0.000601323,0.000601323
18,262.018,0.98445,1.85306,1.03775,0.00281,0.83333,0.45663,0.28858,1.30405,3.89005,1.20278,0.000629905,0.000629905,0.000629905
19,271.091,1.01025,1.67674,1.06148,0.00281,0.83333,0.33601,0.20765,1.20591,3.88788,1.17023,0.000657637,0.000657637,0.000657637
20,279.991,0.94933,1.82915,1.01556,0.00284,0.83333,0.35024,0.22268,1.18426,3.77307,1.09293,0.000684521,0.000684521,0.000684521
21,289.043,0.95489,1.91738,1.00838,0.00309,0.91667,0.33832,0.23724,1.18602,3.75633,1.10829,0.000710556,0.000710556,0.000710556
22,297.983,0.97889,1.7535,1.0206,0.00308,0.91667,0.36038,0.23026,1.27595,3.80399,1.12182,0.000735742,0.000735742,0.000735742
23,307.161,0.92539,1.62332,0.96019,0.00307,0.91667,0.38364,0.26005,1.39814,3.74159,1.17166,0.000760079,0.000760079,0.000760079
24,315.994,0.90912,1.63414,0.99961,0.00307,0.91667,0.4144,0.25239,1.39271,3.67156,1.20212,0.000783568,0.000783568,0.000783568
25,325.082,0.85691,1.58944,0.97239,0.00709,0.75,0.45039,0.27601,1.39597,3.62057,1.21207,0.000806208,0.000806208,0.000806208
26,334.485,0.99841,1.74343,1.08841,0.98083,0.27522,0.42822,0.27303,1.3691,3.5748,1.2149,0.000827998,0.000827998,0.000827998
27,343.492,0.87322,1.57304,0.98596,0.96567,0.3075,0.41133,0.27718,1.34996,3.51157,1.22498,0.00084894,0.00084894,0.00084894
28,352.344,0.82657,1.59512,0.96746,1,0.30749,0.45929,0.32134,1.33155,3.43643,1.24661,0.000869033,0.000869033,0.000869033
29,361.136,0.96386,1.70757,1.07585,1,0.30749,0.45929,0.32134,1.33155,3.43643,1.24661,0.000888278,0.000888278,0.000888278
30,370.034,0.90718,1.54413,1.04542,0.84735,0.40169,0.53219,0.37605,1.2847,3.37159,1.24343,0.000906673,0.000906673,0.000906673
31,379.123,0.88366,1.55638,1.0234,0.67673,0.40067,0.63409,0.45275,1.29402,3.28638,1.235,0.00092422,0.00092422,0.00092422
32,387.99,0.95278,1.55044,1.03343,0.56918,0.37283,0.62827,0.42757,1.37784,3.20775,1.27354,0.000940918,0.000940918,0.000940918
33,396.912,0.86471,1.41074,0.97574,0.56918,0.37283,0.62827,0.42757,1.37784,3.20775,1.27354,0.000956767,0.000956767,0.000956767
34,405.983,0.87403,1.43599,1.0147,0.39559,0.26417,0.61149,0.41974,1.36471,3.20065,1.2718,0.000962146,0.000962146,0.000962146
35,415.083,0.85996,1.4249,1.00666,0.65901,0.45889,0.69892,0.45905,1.31761,3.01,1.23259,0.000947999,0.000947999,0.000947999
36,424.077,0.87557,1.41458,1.02498,0.62582,0.47955,0.70148,0.48556,1.25895,2.80068,1.19403,0.000933851,0.000933851,0.000933851
37,433.203,0.87162,1.34781,0.96884,0.62582,0.47955,0.70148,0.48556,1.25895,2.80068,1.19403,0.000919704,0.000919704,0.000919704
38,442.255,0.80792,1.38058,0.9702,0.60261,0.55123,0.69243,0.47163,1.25182,2.90872,1.19915,0.000905557,0.000905557,0.000905557
39,451.477,0.84757,1.43445,0.99684,0.60484,0.47886,0.65198,0.42599,1.25386,3.04643,1.1941,0.00089141,0.00089141,0.00089141
40,460.447,0.81633,1.42403,1.02396,0.63436,0.47224,0.5694,0.38119,1.15969,3.3667,1.1807,0.000877263,0.000877263,0.000877263
